target_gene,tissue,outcome,outcome_display,p_value,FDR,p_full_delta,FDR_full_delta,significant_category,full_delta_category
JAK1,Skin_Not_Sun_Exposed_Suprapubic,alopecia_areata,Alopecia areata,0.3549902167323592,0.7786882173484008,0.3599855653207062,0.7896457561873554,null,null
JAK1,Skin_Not_Sun_Exposed_Suprapubic,atopic_dermatitis,Dermatitis/eczema,0.9032054644306678,0.9799421359717464,0.9032229409605076,0.9799448763996494,null,null
JAK1,Skin_Not_Sun_Exposed_Suprapubic,psoriasis,Psoriasis,0.4190683791112502,0.8635348418050004,0.4227606803519378,0.8699792807099974,null,null
JAK1,Skin_Not_Sun_Exposed_Suprapubic,vitiligo,Vitiligo,0.7537448051185089,0.9799421359717464,0.7540320681998447,0.9799448763996494,null,null
JAK1,Whole_Blood,alopecia_areata,Alopecia areata,0.4116052648395862,0.8635348418050004,0.4158154841031315,0.8699792807099974,null,null
JAK1,Whole_Blood,atopic_dermatitis,Dermatitis/eczema,0.0355925447994429,0.4840586092724241,0.0469793747618639,0.6389194967613497,nominal,nominal
JAK1,Whole_Blood,psoriasis,Psoriasis,0.1312674478075857,0.7010734975617608,0.1429824336998672,0.712140379591961,null,null
JAK1,Whole_Blood,vitiligo,Vitiligo,0.1964657299609612,0.7010734975617608,0.2063917631252156,0.712140379591961,null,null
TYK2,Skin_Not_Sun_Exposed_Suprapubic,alopecia_areata,Alopecia areata,0.2886773225254309,0.7010734975617608,0.293234273949631,0.712140379591961,null,null
TYK2,Skin_Not_Sun_Exposed_Suprapubic,atopic_dermatitis,Dermatitis/eczema,0.9366868038768544,0.9799421359717464,0.9366901802192358,0.9799448763996494,null,null
TYK2,Skin_Not_Sun_Exposed_Suprapubic,psoriasis,Psoriasis,5.907809366749572e-09,1.3391034564632364e-07,3.5021052177702944e-06,7.938105160279335e-05,FDR_significant,FDR_significant
TYK2,Skin_Not_Sun_Exposed_Suprapubic,vitiligo,Vitiligo,0.4875846561915291,0.920529744843615,0.4893520446166959,0.9243316398315368,null,null
TYK2,Skin_Sun_Exposed_Lower_leg,alopecia_areata,Alopecia areata,0.8281696090572174,0.9799421359717464,0.8282575501386854,0.9799448763996494,null,null
TYK2,Skin_Sun_Exposed_Lower_leg,atopic_dermatitis,Dermatitis/eczema,0.500876478811967,0.920529744843615,0.5030055807865073,0.9244426890130404,null,null
TYK2,Skin_Sun_Exposed_Lower_leg,psoriasis,Psoriasis,2.4971486675903165e-14,1.6980610939614153e-12,4.5535822147164126e-07,3.09643590600716e-05,FDR_significant,FDR_significant
TYK2,Skin_Sun_Exposed_Lower_leg,vitiligo,Vitiligo,0.3496326409018231,0.7786882173484008,0.3542409422999306,0.7896457561873554,null,null
TYK2,Whole_Blood,alopecia_areata,Alopecia areata,0.2886773225254309,0.7010734975617608,0.2925425587232906,0.712140379591961,null,null
TYK2,Whole_Blood,atopic_dermatitis,Dermatitis/eczema,0.9366868038768544,0.9799421359717464,0.9366896638656044,0.9799448763996494,null,null
TYK2,Whole_Blood,psoriasis,Psoriasis,5.907809366749528e-09,1.3391034564632364e-07,1.806693202365041e-06,6.14275688804114e-05,FDR_significant,FDR_significant
TYK2,Whole_Blood,vitiligo,Vitiligo,0.4875846561915291,0.920529744843615,0.489082904993836,0.9243316398315368,null,null
IL4R,Whole_Blood,alopecia_areata,Alopecia areata,0.7276295880592497,0.9799421359717464,0.7277399598178211,0.9799448763996494,null,null
IL4R,Whole_Blood,atopic_dermatitis,Dermatitis/eczema,0.4340127266908282,0.8680254533816564,0.4349896403549987,0.8699792807099974,null,null
IL4R,Whole_Blood,psoriasis,Psoriasis,0.8076848018860222,0.9799421359717464,0.8077236806655106,0.9799448763996494,null,null
IL4R,Whole_Blood,vitiligo,Vitiligo,0.190783979074551,0.7010734975617608,0.1934168700124631,0.712140379591961,null,null
IL17RA,Skin_Not_Sun_Exposed_Suprapubic,alopecia_areata,Alopecia areata,0.2755681596574704,0.7010734975617608,0.2766669950004924,0.712140379591961,null,null
IL17RA,Skin_Not_Sun_Exposed_Suprapubic,atopic_dermatitis,Dermatitis/eczema,0.1805744473986044,0.7010734975617608,0.1820790140670157,0.712140379591961,null,null
IL17RA,Skin_Not_Sun_Exposed_Suprapubic,psoriasis,Psoriasis,0.6232472374998702,0.9799421359717464,0.623408875395215,0.9799448763996494,null,null
IL17RA,Skin_Not_Sun_Exposed_Suprapubic,vitiligo,Vitiligo,0.9285708241045846,0.9799421359717464,0.9285719284504824,0.9799448763996494,null,null
IL17RA,Skin_Sun_Exposed_Lower_leg,alopecia_areata,Alopecia areata,0.2755681596574704,0.7010734975617608,0.2762046083525897,0.712140379591961,null,null
IL17RA,Skin_Sun_Exposed_Lower_leg,atopic_dermatitis,Dermatitis/eczema,0.1805744473986044,0.7010734975617608,0.1814459027543018,0.712140379591961,null,null
IL17RA,Skin_Sun_Exposed_Lower_leg,psoriasis,Psoriasis,0.6232472374998702,0.9799421359717464,0.6233408021732234,0.9799448763996494,null,null
IL17RA,Skin_Sun_Exposed_Lower_leg,vitiligo,Vitiligo,0.9285708241045846,0.9799421359717464,0.9285714631925788,0.9799448763996494,null,null
